message,severity,attributes,tags,timestamp
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299176943Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299180079Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299182923Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299185929Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299189455Z
2026-03-24 23:33:52.275 Session state does not function when running a script without `streamlit run`,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299192171Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299194771Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299197365Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299200092Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299203171Z
2026-03-24 23:33:52.275 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.299205931Z
